seed,capture_TE_4,capture_TE_12,delta_TE,capture_turnover_10,capture_turnover_50,delta_turnover,dominance_delta,realized_turnover_at_10,realized_turnover_at_50,scenario_status,scenario_error,dataset_identity,configuration_fingerprint,fixed_settings_fingerprint
50,0.9316957559224,0.9427920358524188,0.0110962799300188,0.8087061721655172,0.9577189912202958,0.1490128190547786,0.1379165391247597,0.1000000000498294,0.3072200889881835,success,,97885242e51df486bec60bd3ea8a93fdbfba6fabce36f50b88e5cddd94e6027e,5938d6018a90944c658ed41e4cadb96855fee0cd1357e6678804b84584618221,ded282965994600f4d2d3fc2b945b20c06c0b3d2cd4ef01cf59228d1bd107a08
51,0.9515334241743716,0.9570796261990038,0.005546202024632,0.8418463207020314,0.9703282423388236,0.1284819216367922,0.1229357196121602,0.0999999999691996,0.3032545351243135,success,,961b24b497dec791dfac8453c0c2803567725ab1883d182cc53611f1bb1e2ff2,882f4d6aba319cc3653022af1bb2ac8b07dbaed2a50ff02e534635f369810f59,ded282965994600f4d2d3fc2b945b20c06c0b3d2cd4ef01cf59228d1bd107a08
52,0.9575954991855198,0.9642719392461466,0.0066764400606268,0.8370906881950514,0.9737614631396664,0.1366707749446148,0.129994334883988,0.099999999958895,0.2890212929040503,success,,95d2f9f68e8051507d581532ff88db334c9cbb9cbeb6c67a93bb318f5073093b,2773608baa5d56da09c98d76fe12f5ad5d126c82daa16d1a2f46de1ef3af84bb,ded282965994600f4d2d3fc2b945b20c06c0b3d2cd4ef01cf59228d1bd107a08
53,,0.9419248685346456,,0.7725867827890874,0.9646635167387642,0.1920767339496767,,0.0998236209413813,0.3346644222681174,incomplete,Optimization failed on 2023-05-01: optimal_inaccurate: No accepted optimum; constraints were not relaxed,9f27d909380283619e038657a839820a2af0503759787ecabe5c89311186ccc9,90e881c46cc05a85df138df6b36c9c7678d9a5f054fc911bceded5ef8744ea37,ded282965994600f4d2d3fc2b945b20c06c0b3d2cd4ef01cf59228d1bd107a08
54,0.9451884110524036,0.9526817245478488,0.0074933134954454,0.8245892266359274,0.9691137649736252,0.1445245383376977,0.1370312248422522,0.0999999999883506,0.3062989690886039,success,,bfd3f86ff99e9846e264ddd183e86c05d3c5dcc9e2c1c519fd09d8938bcff220,f25c943cf372c2d37c9aac5faa5d8972d1cae112096f16989b5c60572cbf9927,ded282965994600f4d2d3fc2b945b20c06c0b3d2cd4ef01cf59228d1bd107a08
55,0.921713338372751,0.9361121328970784,0.0143987945243274,0.812588716818498,0.9479566265493212,0.1353679097308233,0.1209691152064958,0.1000000000466062,0.3084604405489778,success,,23e43b5088691973379390d85db66e481f098b83e2124a1bada00eced9cbfe8c,9b89dd54ee34ecb4c65ebfc64a6df42a7ef4c22fc6453fc94299178b1b3a71ef,ded282965994600f4d2d3fc2b945b20c06c0b3d2cd4ef01cf59228d1bd107a08
56,0.9361460960865448,0.9433177312964812,0.0071716352099364,0.7978116302055113,0.9591226620233462,0.1613110318178349,0.1541393966078984,0.0999999999917478,0.3088066840621322,success,,2b70dc10c1987f854fa8b3eb11892cac6cb240839a52d0a21d935bd75d2a1fc0,824e4c5ecb908850e662091b9519cafb2e87f878349ba559a8f310e929700480,ded282965994600f4d2d3fc2b945b20c06c0b3d2cd4ef01cf59228d1bd107a08
57,0.9531213376493354,0.9594650388142084,0.0063437011648729,0.830537222365156,0.97219794978958,0.141660727424424,0.1353170262595511,0.0999999999947332,0.296130126006193,success,,3638770df691e277d4b1b9e4be775738eb944d4a19bc595f4389511464f022b2,39023b9e347dda871f9ed767b951744fb454b88b768ec1c69bb568a82e7c370e,ded282965994600f4d2d3fc2b945b20c06c0b3d2cd4ef01cf59228d1bd107a08
58,0.9121307120938912,0.932470234979929,0.0203395228860379,0.8064940991127941,0.9471747126856376,0.1406806135728435,0.1203410906868056,0.1000000000080801,0.3057676797109827,success,,21f0307a6ba091a8cf296b1dd664e570b0f482f0155e31e74e8a6af4c5c1eb4d,836a49fd177edcdb85859ede4e337812c7d564eac403b455661d3b7e865cf90c,ded282965994600f4d2d3fc2b945b20c06c0b3d2cd4ef01cf59228d1bd107a08
59,0.953083977059297,0.95637408815163,0.003290111092333,0.8268601411178147,0.9690809370147554,0.1422207958969407,0.1389306848046076,0.0999999999715797,0.3061658589625909,success,,adc5a12a50d1f9b61e34f323af972c2d654196350b1be5b220d84b46aff08f1a,5feab48067cf5933553f8d9c8962ad3b497d4e80899970d5e92ea5de71026b50,ded282965994600f4d2d3fc2b945b20c06c0b3d2cd4ef01cf59228d1bd107a08
